Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,EducationOrdinalEncoded,Relationship_InRelationship,Relationship_NotInRelationship,Relationship_Undefined,ChildrenHome,RegencyInMonths,TotalSpent,DealSeeker,BuyerType_CatalogueBuyer,BuyerType_MixedBuyer,BuyerType_StoreBuyer,BuyerType_WebBuyer,VisitedWebsiteRecently,AcceptedOffer
59354,53,233,2,53,3,5,14,3,6,1,5,6,62,4,0,1,0,1,13,310,1,0,0,0,1,1,0
17323,38,3,14,17,6,1,5,1,1,0,3,8,27,2,1,0,0,0,26,46,0,0,0,1,0,1,0
82800,23,1006,22,115,59,68,45,1,7,6,12,3,68,5,0,1,0,0,25,1315,0,0,0,1,0,1,1
41850,51,53,5,19,2,13,4,3,3,0,3,8,34,2,1,0,0,1,24,96,1,0,1,0,0,1,0
37760,20,84,5,38,150,12,28,2,4,1,6,7,68,2,1,0,0,0,28,317,0,0,0,1,0,1,0
76995,91,1012,80,498,0,16,176,2,11,4,9,5,65,4,1,0,0,1,21,1782,0,0,0,0,1,1,1
33812,86,4,17,19,30,24,39,2,2,1,3,6,29,3,0,1,0,1,33,133,0,0,0,1,0,1,0
37040,41,86,2,73,69,38,48,1,4,2,5,8,32,2,1,0,0,0,28,316,0,0,0,1,0,1,0
2447,42,1,1,1725,1,1,1,15,0,28,0,1,35,2,1,0,0,1,19,1730,1,1,0,0,0,1,0
58607,63,867,0,86,0,0,19,3,2,3,9,8,65,5,1,0,0,1,24,972,1,0,0,1,0,1,1
65324,0,384,0,102,21,32,5,3,6,2,9,4,60,5,1,0,0,1,2,544,1,0,0,1,0,1,0
40689,69,270,3,27,39,6,99,7,7,1,5,8,63,2,1,0,0,1,21,444,1,0,0,0,1,1,0
18589,89,6,4,25,15,12,13,2,2,1,3,7,45,2,0,1,0,0,23,75,0,0,0,1,0,1,0
53359,4,173,4,30,3,6,41,4,5,1,4,7,38,2,1,0,0,1,19,257,1,0,0,0,1,1,0
52028,19,5,1,3,3,263,362,0,27,0,0,1,28,2,0,1,0,1,22,637,0,0,0,0,1,1,0
38360,26,36,2,42,20,21,10,2,2,1,4,3,25,2,1,0,0,1,19,131,0,0,0,1,0,1,0
84618,96,684,100,801,21,66,0,1,6,9,10,2,49,5,1,0,0,0,13,1672,0,0,0,1,0,1,1
10979,34,8,4,10,2,2,4,2,3,0,3,5,25,4,0,1,0,0,7,30,0,0,1,0,0,1,0
38620,56,112,17,44,34,22,89,1,2,5,3,3,51,4,1,0,0,0,14,318,0,1,0,0,0,1,0
40548,31,110,0,5,2,0,3,2,2,1,4,5,44,2,1,0,0,1,26,120,0,0,0,1,0,1,1
46610,8,96,12,96,33,22,43,6,4,1,6,6,62,5,0,1,0,1,26,302,1,0,0,1,0,1,1
68657,4,482,34,471,119,68,22,1,3,5,9,7,68,4,1,0,0,0,22,1196,0,0,0,1,0,1,0
49389,55,40,0,19,2,1,3,1,2,0,3,7,63,4,0,1,0,1,16,65,0,0,0,1,0,1,0
67353,37,702,17,151,0,8,35,5,5,6,12,2,44,5,1,0,0,1,12,913,1,0,0,1,0,1,0
23718,76,6,3,14,15,7,36,3,3,1,2,7,38,3,1,0,0,1,22,81,1,0,0,0,1,1,0
42429,99,55,0,6,2,0,4,2,1,1,3,5,41,2,0,1,0,1,2,67,0,0,0,1,0,1,0
48948,53,437,8,206,160,49,42,2,7,10,5,6,71,5,0,1,0,0,24,902,0,1,0,0,0,1,1
80011,3,421,76,536,82,178,102,2,8,6,5,4,34,2,1,0,0,1,20,1395,0,0,0,0,1,1,0
20559,88,13,1,29,3,0,7,2,2,0,3,8,29,4,1,0,0,1,13,53,0,0,0,1,0,1,0
21994,4,9,0,6,3,1,3,1,0,0,3,5,57,2,1,0,0,1,24,22,0,0,0,1,0,1,0
55212,80,81,11,50,3,2,39,1,1,3,4,2,55,5,0,1,0,0,19,186,0,0,0,1,0,1,0
7500,19,3,1,10,3,2,12,3,2,0,3,5,39,4,1,0,0,1,22,31,1,0,0,1,0,1,0
79941,72,123,164,266,227,30,174,1,2,4,9,1,38,2,0,1,0,0,6,984,0,0,0,1,0,1,0
7500,24,3,18,14,15,22,50,3,3,1,3,9,18,3,1,0,0,0,27,122,1,0,1,0,0,1,1
41728,92,13,6,15,3,5,13,1,2,0,2,10,46,2,1,0,0,1,19,55,0,0,1,0,0,1,0
52028,96,48,5,48,6,10,7,3,2,1,4,6,63,2,0,1,0,1,12,124,1,0,0,1,0,1,0
72550,39,826,50,317,50,38,38,9,5,2,12,8,60,5,1,0,0,1,28,1319,1,0,0,1,0,1,0
65486,29,245,19,125,37,67,14,1,4,2,10,2,57,2,0,1,0,1,1,507,0,0,0,1,0,1,0
79143,2,650,37,780,27,167,32,1,6,9,13,3,50,4,1,0,0,0,25,1693,0,0,0,1,0,1,0
35790,54,12,6,20,30,1,3,2,2,0,3,7,37,2,0,1,0,1,23,72,0,0,0,1,0,1,0
82582,54,510,120,550,156,40,241,1,4,9,7,1,37,2,0,1,0,0,6,1617,0,1,0,0,0,1,1
66373,57,328,9,124,12,24,109,7,4,2,10,3,36,2,1,0,0,1,13,606,1,0,0,1,0,1,0
82384,55,984,51,432,180,120,190,1,3,10,13,1,59,4,1,0,0,0,25,1957,0,0,0,1,0,1,1
70287,30,295,35,482,121,120,40,1,5,5,10,3,48,2,0,1,0,0,23,1093,0,0,0,1,0,1,1
27938,31,13,0,8,2,1,5,1,1,0,4,3,26,2,0,1,0,1,8,29,0,0,0,1,0,1,0
52028,57,11,3,22,2,2,6,2,2,0,3,6,32,2,0,1,0,1,18,46,0,0,0,1,0,1,0
55954,63,447,0,28,0,0,43,3,8,2,6,7,46,5,1,0,0,1,10,518,1,0,0,0,1,1,0
75777,12,712,26,538,69,13,80,1,3,6,11,1,32,4,0,1,0,0,20,1438,0,0,0,1,0,1,1
66653,18,452,18,102,16,18,6,4,4,2,12,3,39,2,1,0,0,1,29,612,1,0,0,1,0,1,0
61823,26,523,7,134,37,14,169,4,8,2,10,7,62,2,0,1,0,1,22,884,1,0,0,1,0,1,0
67680,8,546,0,48,0,6,6,1,7,3,8,5,63,5,0,1,0,1,13,606,0,0,0,1,0,1,0
70666,29,398,40,367,119,122,30,1,7,4,4,4,66,2,1,0,0,0,18,1076,0,0,0,0,1,1,0
25721,75,1,3,6,3,6,15,1,1,1,2,7,43,2,1,0,0,1,19,34,0,0,0,1,0,1,1
32474,0,10,0,1,0,0,0,1,1,0,2,7,47,2,1,0,0,1,2,11,0,0,0,1,0,1,0
88194,19,688,14,309,201,24,38,1,11,10,10,5,35,3,0,1,0,1,9,1274,0,0,0,0,1,1,1
69096,4,247,49,159,7,82,109,1,5,2,10,4,56,2,1,0,0,1,15,653,0,0,0,1,0,1,0
74854,90,856,59,487,58,29,73,7,2,5,5,5,44,2,1,0,0,1,17,1562,1,0,1,0,0,1,0
66991,1,496,36,460,189,60,12,3,4,8,6,3,60,4,1,0,0,0,25,1253,1,1,0,0,0,1,0
46805,25,25,3,43,17,4,17,3,3,0,3,8,41,3,1,0,0,1,27,109,1,0,1,0,0,1,0
65031,29,258,107,291,84,37,86,4,10,3,13,7,55,2,1,0,0,1,21,863,1,0,0,1,0,1,0
60631,88,565,6,65,0,6,19,5,9,2,8,7,39,5,1,0,0,1,20,661,1,0,0,0,1,1,1
28332,58,14,10,13,4,15,9,1,2,1,4,2,62,2,1,0,0,0,8,65,0,0,0,1,0,1,0
40246,68,2,1,6,2,1,1,1,1,0,2,6,37,2,0,1,0,1,24,13,0,0,0,1,0,1,0
75251,34,721,111,925,97,18,18,1,7,6,5,5,42,4,1,0,0,0,28,1890,0,0,0,0,1,1,1
75825,40,1032,105,779,137,105,51,0,5,8,9,4,38,2,0,1,0,0,24,2209,0,0,0,1,0,1,1
26326,12,1,0,5,0,3,9,1,0,0,3,3,38,3,1,0,0,0,20,18,0,0,0,1,0,1,0
56046,9,577,0,64,0,0,51,2,10,1,8,8,49,2,1,0,0,0,23,692,0,0,0,0,1,1,1
29760,87,64,4,68,7,5,17,4,3,1,4,8,29,2,0,1,0,1,28,165,1,0,0,1,0,1,0
26304,5,4,1,5,2,0,4,1,1,0,2,7,45,2,1,0,0,1,18,16,0,0,0,1,0,1,0
23559,87,25,5,19,7,0,23,3,3,0,3,7,41,3,1,0,0,1,22,79,1,0,1,0,0,1,0
38620,56,112,17,44,34,22,89,1,2,5,3,3,51,4,1,0,0,0,14,318,0,1,0,0,0,1,0
81361,18,163,23,424,27,65,76,1,3,10,13,1,27,2,0,1,0,0,10,778,0,0,0,1,0,1,0
29440,95,17,8,14,10,4,3,2,1,0,4,7,54,2,1,0,0,1,13,56,0,0,0,1,0,1,0
36138,48,130,0,16,0,0,5,5,3,1,4,7,44,4,1,0,0,1,17,151,1,0,0,1,0,1,1
50388,3,292,6,37,0,3,34,4,6,1,6,7,57,2,0,1,0,1,7,372,1,0,1,0,0,1,1
79593,70,350,60,568,110,133,145,1,5,6,7,2,41,2,1,0,0,0,1,1366,0,0,0,1,0,1,1
54178,79,135,9,39,4,0,7,1,2,2,5,2,47,2,1,0,0,1,11,194,0,0,0,1,0,1,0
55212,4,230,42,192,49,37,53,12,7,2,8,9,57,5,1,0,0,1,25,603,1,0,0,1,0,1,0
52028,45,7,0,8,2,0,1,1,1,0,2,7,57,2,0,1,0,1,7,18,0,0,0,1,0,1,0
50943,87,445,37,359,98,28,18,1,2,4,8,1,41,4,1,0,0,0,13,985,0,0,0,1,0,1,0
42394,69,15,2,10,0,1,4,1,1,0,3,7,42,4,0,1,0,1,9,32,0,0,0,1,0,1,0
23626,84,27,2,14,0,0,0,3,3,1,3,5,44,5,1,0,0,1,7,43,1,0,1,0,0,1,0
30096,30,5,3,11,12,5,9,1,2,0,3,6,31,2,1,0,0,1,7,45,0,0,0,1,0,1,0
47916,72,505,0,26,0,0,75,5,7,4,6,6,54,2,0,1,0,1,25,606,1,0,0,0,1,1,1
51813,37,51,2,7,0,1,2,2,2,0,3,7,42,2,0,1,0,1,14,63,0,0,0,1,0,1,0
78497,44,207,26,447,75,0,223,1,5,7,12,2,63,3,1,0,0,0,23,978,0,0,0,1,0,1,1
50150,32,135,46,92,65,61,11,2,5,2,7,5,31,5,1,0,0,0,18,410,0,0,0,1,0,1,0
47823,0,53,1,5,2,1,10,2,2,0,3,8,54,3,0,1,0,1,17,72,0,0,0,1,0,1,0
34554,43,41,1,6,2,0,5,2,2,0,3,6,55,5,0,1,0,1,9,55,0,0,0,1,0,1,0
85693,59,386,172,183,185,132,111,2,9,5,11,5,35,2,1,0,0,1,20,1169,0,0,0,1,0,1,0
65846,68,562,81,276,80,40,81,1,6,3,6,4,69,5,1,0,0,0,19,1120,0,0,1,0,0,1,0
87195,35,217,76,690,50,26,38,1,3,11,5,1,55,2,1,0,0,0,5,1097,0,1,0,0,0,1,1
24594,94,1,3,6,10,0,9,1,1,0,3,5,35,1,1,0,0,1,14,29,0,0,0,1,0,1,0
49096,15,144,1,32,2,1,7,4,4,1,4,7,50,2,1,0,0,1,15,187,1,0,1,0,0,1,0
52413,56,295,106,271,75,98,65,4,6,4,12,6,45,2,1,0,0,1,23,910,1,0,0,1,0,1,0
38557,17,76,3,31,4,4,27,2,3,1,3,7,36,2,0,1,0,1,24,145,0,0,1,0,0,1,0
89058,18,454,194,106,31,22,43,1,5,4,4,2,54,4,1,0,0,0,29,850,0,0,0,0,1,1,0
77298,46,425,115,292,23,35,79,1,6,6,11,3,35,2,1,0,0,1,22,969,0,0,0,1,0,1,0
68126,40,1332,17,311,23,51,86,1,7,4,5,9,23,5,0,1,0,0,26,1820,0,0,0,0,1,1,1
57288,27,527,0,21,0,0,60,3,8,1,8,6,51,4,1,0,0,1,6,608,1,0,1,0,0,1,1
86037,95,490,44,125,29,20,22,1,6,7,11,3,23,2,0,1,0,0,23,730,0,0,0,1,0,1,1
43974,19,378,0,101,0,0,72,5,6,4,6,7,34,5,1,0,0,1,24,551,1,0,1,0,0,1,0
50785,27,64,1,21,0,1,27,2,2,1,3,6,52,2,0,1,0,1,14,114,0,0,0,1,0,1,0
90765,25,547,99,812,151,82,33,0,4,6,5,1,44,2,1,0,0,0,11,1724,0,1,0,0,0,1,1
36550,74,47,90,94,123,103,120,5,9,1,5,9,36,3,1,0,0,1,22,577,1,0,0,0,1,1,0
30753,85,12,5,25,0,9,30,2,1,1,3,5,47,3,1,0,0,1,13,81,0,0,0,1,0,1,0
21918,37,1,6,7,11,5,3,2,2,0,3,6,45,2,1,0,0,1,13,33,0,0,0,1,0,1,0
56129,65,320,48,133,39,72,48,4,6,2,10,4,61,4,1,0,0,1,18,660,1,0,0,1,0,1,0
32557,13,34,3,29,0,4,10,3,2,1,3,5,47,4,0,1,0,1,10,80,1,0,0,1,0,1,1
19510,63,9,0,7,3,4,7,2,1,0,3,7,29,4,1,0,0,1,20,30,0,0,0,1,0,1,0
30992,83,17,0,14,7,3,2,1,1,0,3,7,38,2,0,1,0,1,20,43,0,0,0,1,0,1,0
101970,69,722,27,102,44,72,168,0,6,8,13,2,31,2,0,1,0,0,13,1135,0,0,0,1,0,1,1
71488,87,162,33,124,40,28,172,2,3,4,7,1,49,3,1,0,0,0,22,559,0,0,0,1,0,1,0
79607,37,450,133,951,173,0,216,1,3,6,6,1,30,2,0,1,0,0,20,1923,0,0,1,0,0,1,1
54348,51,70,0,16,0,0,4,2,2,0,4,6,61,4,1,0,0,1,5,90,0,0,0,1,0,1,0
55212,23,352,0,27,10,0,15,3,6,1,7,6,53,5,1,0,0,1,13,404,1,0,0,1,0,1,0
77376,72,492,19,110,16,12,12,4,6,3,10,4,58,5,1,0,0,1,3,661,1,0,0,1,0,1,0
62998,10,120,58,73,65,89,58,5,5,4,5,5,62,2,1,0,0,1,15,463,1,0,1,0,0,1,0
61331,42,534,5,47,0,5,41,5,11,1,6,8,56,4,0,1,0,1,15,632,1,0,0,0,1,1,0
73448,10,236,106,189,23,41,130,1,7,2,9,4,45,2,1,0,0,0,3,725,0,0,0,1,0,1,0
52028,96,231,65,196,38,71,124,1,6,5,7,4,51,2,1,0,0,1,13,725,0,0,0,1,0,1,0
41551,51,220,0,33,3,0,23,5,5,1,5,8,50,5,1,0,0,1,16,279,1,0,1,0,0,1,0
62981,21,796,14,590,38,44,0,1,4,5,13,3,47,5,1,0,0,0,21,1482,0,0,0,1,0,1,1
9548,31,0,1,3,10,6,9,2,1,0,3,8,38,1,0,1,0,1,28,29,0,0,0,1,0,1,0
33762,61,53,1,34,2,0,16,3,2,2,2,8,55,5,1,0,0,1,18,106,1,0,1,0,0,1,0
35860,37,15,0,8,4,2,20,2,1,1,2,5,41,5,0,1,0,1,7,49,0,0,0,1,0,1,1
36921,74,17,1,12,3,1,4,2,2,0,3,7,49,5,0,1,0,1,17,38,0,0,0,1,0,1,0
92859,46,962,61,921,52,61,20,1,5,4,12,2,22,4,0,1,0,0,26,2077,0,0,0,1,0,1,0
65104,4,738,0,232,13,20,50,2,3,5,7,7,38,4,1,0,0,1,13,1053,0,0,0,1,0,1,1
86111,73,399,28,756,36,40,126,1,5,7,10,2,52,2,1,0,0,0,20,1385,0,0,0,1,0,1,0
68352,47,614,16,132,43,33,33,3,8,5,9,6,40,5,0,1,0,1,16,871,1,0,0,1,0,1,0
41883,13,32,34,41,73,16,116,3,4,2,3,7,26,2,1,0,0,1,21,312,1,0,0,0,1,1,0
59809,36,598,16,141,32,41,49,3,3,3,6,8,38,2,1,0,0,1,26,877,1,0,0,1,0,1,0
23957,47,2,1,18,20,11,16,1,2,0,3,6,39,2,1,0,0,1,26,68,0,0,0,1,0,1,1
38547,49,6,1,10,0,1,4,1,1,0,2,8,33,2,1,0,0,1,16,22,0,0,0,1,0,1,0
35688,94,73,3,90,12,1,32,7,4,1,4,8,41,3,1,0,0,1,28,211,1,0,1,0,0,1,0
49605,65,42,16,29,12,20,8,1,2,1,4,3,48,4,1,0,0,0,6,127,0,0,0,1,0,1,0
59354,59,295,21,78,39,13,13,1,4,4,7,3,61,4,1,0,0,1,8,459,0,0,0,1,0,1,0
65747,96,346,17,48,23,13,13,4,8,1,6,6,45,2,1,0,0,1,6,460,1,0,0,0,1,1,1
46344,28,233,20,57,8,20,91,4,7,1,5,7,42,3,1,0,0,1,24,429,1,0,0,0,1,1,0
34176,12,5,7,24,19,14,20,4,3,0,4,6,26,2,0,1,0,1,1,89,1,0,0,1,0,1,0
61010,57,888,0,57,0,0,76,2,8,5,11,5,62,5,1,0,0,1,27,1021,0,0,0,1,0,1,0
69372,10,997,26,269,34,13,42,1,10,4,6,4,65,2,1,0,0,0,22,1381,0,0,0,0,1,1,1
49967,4,212,6,69,4,12,3,3,6,1,5,7,56,2,0,1,0,1,16,306,1,0,0,0,1,1,0
60199,49,8,1,7,2,0,0,1,0,0,3,4,36,2,0,1,0,1,12,18,0,0,0,1,0,1,0
55375,3,42,11,57,10,28,14,1,1,1,6,2,37,2,1,0,0,1,14,162,0,0,0,1,0,1,0
80317,64,536,11,387,149,91,57,1,3,4,10,1,59,2,0,1,0,0,16,1231,0,0,0,1,0,1,0
30523,0,5,0,3,0,0,5,1,1,0,2,7,56,4,0,1,0,1,23,13,0,0,0,1,0,1,0
70356,20,1349,16,249,43,16,33,2,10,6,9,6,69,5,1,0,0,0,31,1706,0,0,0,0,1,1,0
23228,91,53,3,49,7,4,5,4,3,0,4,8,30,2,1,0,0,1,8,121,1,0,0,1,0,1,0
74165,9,1001,12,240,16,12,12,1,5,4,10,2,39,5,0,1,0,0,24,1293,0,0,0,1,0,1,0
157243,98,20,2,1582,1,2,1,15,0,22,0,0,41,5,1,0,0,1,12,1608,1,1,0,0,0,0,0
43482,83,18,1,32,6,3,28,3,2,0,4,6,48,2,1,0,0,1,13,88,1,0,0,1,0,1,0
62551,27,125,16,98,134,21,27,1,6,7,4,3,61,2,0,1,0,0,13,421,0,1,0,0,0,1,1
52332,63,212,5,33,7,0,2,1,3,2,6,4,55,2,0,1,0,0,16,259,0,0,0,1,0,1,1
66951,46,277,162,305,173,76,124,1,3,4,7,1,26,2,0,1,0,0,22,1117,0,0,0,1,0,1,0
26091,84,15,10,19,8,17,20,3,2,1,3,5,57,2,1,0,0,1,10,89,1,0,0,1,0,1,0
33456,58,7,3,10,8,1,7,2,1,0,3,7,49,2,1,0,0,1,8,36,0,0,0,1,0,1,0
28718,78,12,4,6,11,8,16,2,2,0,3,8,32,2,1,0,0,1,17,57,0,0,0,1,0,1,0
50447,4,85,7,24,2,3,27,1,3,1,3,6,44,2,1,0,0,1,8,148,0,0,1,0,0,1,0
53537,17,81,0,6,0,0,6,2,2,1,3,5,55,5,1,0,0,1,11,93,0,0,0,1,0,1,0
52074,77,59,0,12,0,0,48,1,2,2,2,4,47,2,0,1,0,1,9,119,0,0,1,0,0,1,1
80427,56,1149,71,449,69,71,26,1,11,8,8,5,39,5,1,0,0,1,24,1835,0,0,0,0,1,1,0
83837,79,847,66,119,86,89,111,1,9,10,5,4,66,5,1,0,0,0,24,1318,0,1,0,0,0,1,1
38853,90,29,0,14,0,0,2,2,2,0,3,7,44,5,1,0,0,1,7,45,0,0,0,1,0,1,0
38285,96,2,0,5,2,0,1,1,0,0,3,2,55,2,1,0,0,1,6,10,0,0,0,1,0,1,0
78497,44,207,26,447,75,0,223,1,5,7,12,2,63,3,1,0,0,0,23,978,0,0,0,1,0,1,1
51650,81,152,3,22,2,5,7,1,4,1,4,5,38,5,1,0,0,1,2,191,0,0,1,0,0,1,0
16248,77,12,11,10,3,12,9,3,2,1,3,6,26,3,1,0,0,1,3,57,1,0,0,1,0,1,0
66835,21,620,26,195,34,17,141,1,6,4,13,2,68,4,1,0,0,0,15,1033,0,0,0,1,0,1,0
30477,16,47,1,6,0,0,12,1,1,1,3,6,30,4,1,0,0,1,11,66,0,0,0,1,0,1,0
28249,80,1,9,7,2,14,10,1,2,0,3,6,53,1,1,0,0,0,6,43,0,0,0,1,0,1,0
25271,45,10,1,18,10,4,7,1,1,1,2,9,31,2,1,0,0,1,31,50,0,0,0,1,0,1,0
32303,63,35,0,2,0,0,2,2,1,0,4,5,44,5,0,1,0,1,5,39,0,0,0,1,0,1,0
61286,34,356,0,107,19,9,117,2,7,1,8,5,48,2,1,0,0,1,22,608,0,0,0,1,0,1,0
74068,14,783,30,537,140,76,15,1,4,10,9,2,38,2,1,0,0,0,21,1581,0,1,0,0,0,1,0
45759,13,42,1,18,3,0,4,2,2,0,3,7,50,5,1,0,0,1,22,68,0,0,0,1,0,1,0
24882,52,1,4,10,29,0,36,1,1,1,2,6,36,1,1,0,0,1,27,80,0,0,0,1,0,1,1
66973,98,466,22,432,147,113,102,1,8,7,12,3,25,5,1,0,0,0,19,1282,0,0,0,1,0,1,0
36640,99,15,6,8,7,4,25,1,2,1,2,5,114,3,0,1,0,1,15,65,0,0,1,0,0,1,0
38872,93,23,3,21,3,19,22,2,3,0,3,8,26,2,1,0,0,1,19,91,0,0,1,0,0,1,0
51148,38,235,6,45,8,9,12,4,5,1,6,6,41,2,1,0,0,1,22,315,1,0,0,1,0,1,0
31353,24,10,0,10,3,1,7,2,1,1,2,8,37,2,1,0,0,1,12,31,0,0,0,1,0,1,0
69661,80,656,16,106,32,16,8,1,7,3,12,3,34,4,1,0,0,0,7,834,0,0,0,1,0,1,0
80067,82,519,17,813,27,173,51,1,4,6,6,2,60,2,1,0,0,0,15,1600,0,0,1,0,0,1,1
86718,20,344,189,482,50,33,172,1,5,6,5,2,60,2,1,0,0,0,23,1270,0,1,0,0,0,1,0
46854,81,96,1,79,7,1,79,6,5,1,3,8,41,5,0,1,0,1,9,263,1,0,0,0,1,1,1
69142,50,448,4,34,6,4,39,3,8,1,7,5,62,2,0,1,0,1,6,535,1,0,0,0,1,1,1
75922,60,265,138,553,224,23,92,1,4,4,9,1,46,2,0,1,0,0,15,1295,0,0,0,1,0,1,0
63693,63,587,43,337,42,87,54,3,11,6,9,6,36,2,0,1,0,1,14,1150,1,0,0,0,1,1,0
102160,54,763,29,138,76,176,58,0,7,9,10,4,37,5,1,0,0,0,34,1240,0,0,0,1,0,1,1
40637,72,22,0,13,0,0,3,2,1,0,3,7,49,5,0,1,0,1,17,38,0,0,0,1,0,1,0
18890,5,6,4,1,7,2,15,1,0,1,2,6,30,4,0,1,0,0,26,35,0,0,0,1,0,1,1
29604,88,7,6,13,7,6,14,1,1,0,3,9,26,2,1,0,0,1,16,53,0,0,0,1,0,1,1
48721,50,81,18,113,47,13,21,6,4,2,5,6,51,4,0,1,0,1,19,293,1,0,0,1,0,1,0
44794,99,54,0,7,0,0,4,1,2,0,3,6,48,2,1,0,0,1,5,65,0,0,0,1,0,1,0
64497,17,1170,48,320,42,32,192,5,11,4,9,8,60,2,0,1,0,1,26,1804,1,0,0,0,1,1,1
46097,11,72,24,68,65,4,8,5,3,1,6,4,58,2,1,0,0,1,21,241,1,0,0,1,0,1,0
77972,18,613,22,319,33,102,12,1,4,6,9,1,60,2,1,0,0,0,9,1101,0,0,0,1,0,1,0
44377,70,224,0,30,0,0,10,8,5,1,5,8,46,5,1,0,0,1,31,264,1,0,1,0,0,1,0
46014,21,410,0,59,19,9,44,10,7,1,8,7,40,4,1,0,0,1,23,541,1,0,0,1,0,1,0
70951,66,239,10,554,254,87,54,1,3,4,9,1,29,2,1,0,0,0,21,1198,0,0,0,1,0,1,0
41443,79,171,7,171,25,19,89,6,8,1,5,8,37,2,1,0,0,1,12,482,1,0,0,0,1,1,0
52195,2,12,0,4,0,0,1,1,1,0,2,8,36,3,0,1,0,1,1,17,0,0,0,1,0,1,0
83790,81,1076,16,417,42,48,16,1,8,10,6,3,66,4,1,0,0,0,13,1615,0,1,0,0,0,1,1
44551,24,182,4,33,0,0,66,2,4,1,5,7,60,4,0,1,0,1,16,285,0,0,0,1,0,1,0
69508,48,824,32,162,42,32,43,2,11,4,11,6,34,2,1,0,0,1,25,1135,0,0,1,0,0,1,0
45204,93,30,11,25,29,1,18,1,1,1,4,3,26,3,1,0,0,1,2,114,0,0,0,1,0,1,0
72460,56,377,10,540,80,30,10,1,3,5,7,1,45,2,1,0,0,0,13,1047,0,0,0,1,0,1,0
77622,3,520,7,154,19,0,14,2,6,3,11,3,44,5,1,0,0,1,8,714,0,0,0,1,0,1,0
30732,44,155,1,25,0,1,3,4,4,1,4,8,34,5,1,0,0,1,20,185,1,0,1,0,0,1,0
63887,38,897,23,207,15,11,92,5,9,6,12,6,52,2,0,1,0,1,28,1245,1,0,0,1,0,1,0
42011,46,131,0,16,2,1,39,4,3,1,4,8,36,2,1,0,0,1,21,189,1,0,0,1,0,1,0
51369,84,297,7,79,0,11,182,2,8,2,4,8,38,2,1,0,0,1,26,576,0,0,0,0,1,1,0
51537,27,787,20,204,0,0,92,3,2,2,11,8,62,2,0,1,0,1,27,1103,1,0,0,1,0,1,0
79930,72,792,86,740,67,51,17,1,3,5,8,2,42,5,1,0,0,0,28,1753,0,0,0,1,0,1,0
34320,66,4,1,9,3,0,0,1,1,0,2,8,28,5,1,0,0,1,10,17,0,0,0,1,0,1,0
37070,30,231,7,137,4,15,39,9,5,1,8,7,48,2,0,1,0,1,21,433,1,0,0,1,0,1,1
81975,2,983,76,184,180,138,27,1,6,3,4,7,52,3,0,1,0,1,20,1588,0,0,0,0,1,1,1
38590,65,3,1,8,4,3,3,1,1,0,2,8,43,2,1,0,0,1,19,22,0,0,0,1,0,1,0
15033,37,0,4,5,6,0,4,1,1,0,3,3,63,2,0,1,0,0,8,19,0,0,0,1,0,1,0
62745,89,562,21,464,28,10,32,3,7,8,11,5,49,5,1,0,0,1,21,1117,1,0,0,1,0,1,0
